row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Acid-Blank-C18.mzML Peak area,Acid-Blank-HLB.mzML Peak area,Acid-Blank-PPL.mzML Peak area,Acid-Blank-Strata.mzML Peak area,Acid-Dam-C18-1.mzML Peak area,Acid-Dam-C18-A.mzML Peak area,Acid-Dam-HLB-1.mzML Peak area,Acid-Dam-HLB-A.mzML Peak area,Acid-Dam-PPL-1.mzML Peak area,Acid-Dam-PPL-A.mzML Peak area,Acid-Dam-Strata-1.mzML Peak area,Acid-Dam-Strata-A.mzML Peak area,Acid-Sea-C18-1.mzML Peak area,Acid-Sea-C18-A.mzML Peak area,Acid-Sea-HLB-1.mzML Peak area,Acid-Sea-HLB-A.mzML Peak area,Acid-Sea-PPL-1.mzML Peak area,Acid-Sea-PPL-A.mzML Peak area,Acid-Sea-Strata-1.mzML Peak area,Acid-Sea-Strata-A.mzML Peak area,Dam-C18-1.mzML Peak area,Dam-C18-A.mzML Peak area,Dam-HLB-1.mzML Peak area,Dam-HLB-A.mzML Peak area,Dam-PPL-1.mzML Peak area,Dam-PPL-A.mzML Peak area,Dam-Strata-1.mzML Peak area,Dam-Strata-A.mzML Peak area,NeuBlankC18.mzML Peak area,NeuBlankHLB.mzML Peak area,NeuBlankPPL.mzML Peak area,NeuBlankStrata-NeuBlankStrata (2).mzML Peak area,River-C18-1.mzML Peak area,River-C18-A.mzML Peak area,River-HLB-1.mzML Peak area,River-HLB-A.mzML Peak area,River-PPL-1.mzML Peak area,River-PPL-A.mzML Peak area,River-Strata-1.mzML Peak area,River-Strata-A.mzML Peak area,Sea-C18-1.mzML Peak area,Sea-C18-A.mzML Peak area,Sea-HLB-1.mzML Peak area,Sea-HLB-A.mzML Peak area,Sea-PPL-1.mzML Peak area,Sea-PPL-A.mzML Peak area,Sea-Strata-A.mzML Peak area,Sea-Stratra-1.mzML Peak area,Tap-C18-1.mzML Peak area,Tap-C18-A.mzML Peak area,Tap-HLB-1.mzML Peak area,Tap-HLB-A.mzML Peak area,Tap-PPL-1.mzML Peak area,Tap-PPL-A.mzML Peak area,Tap-Strata-1.mzML Peak area,Tap-Strata-A.mzML Peak area,Unnamed: 69
50,371.1008239914243,1.3323419,area,,,,,,,,,,,0.0,0.0,0.0,0.0,26.764416,32.442284,39.12928,7.7268367,27.407965,33.27557,27.584549,60.50477,53.35604,28.14027,37.86573,8.907856,53.1306,18.385756,34.2749,15.502565,69.17163,22.530924,10.638723,93.173294,44.23215,32.717983,13.663878,7.3479657,12.481834,42.439827,17.537022,52.15787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.49589,52.394157,25.790648,29.679317,50.839233,10.709359,76.25381,6.002781,29.025776,5.605215,29.696354,6.37924,12.206082,26.871305,29.415876,12.367048,
99,223.0632002859168,1.4478087,area,,,,,,,,,,,0.0,0.0,0.0,0.0,1.9409021,1.7402091,49.933163,28.325851,1.625825,12.80522,7.7061787,8.2806225,3.0518136,21.537996,2.837469,2.1430023,2.2218099,27.688747,11.737221,18.374865,2.6310523,2.206159,6.9489007,7.250675,1.9481949,1.4442041,1.51125,1.9154649,3.3756337,11.9224,6.9742293,12.067478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.594332,2.2836113,11.186588,14.532443,2.5662837,11.114448,1.9635768,21.02562,9.619489,2.1690855,2.4041047,2.0635061,20.325844,2.2514062,9.218926,10.064008,
108,162.10388448998626,1.5360888,area,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.96943,87.58157,1251.0424,1045.8993,56.745552,46.007862,
109,168.13774083929928,1.5415791,area,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.53727,127.82455,83.689064,105.38814,41.08867,42.13206,78.26105,48.758335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
107,160.07502908676366,1.5448948,area,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.26305,63.55942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.80919,24.58836,170.39183,0.0,46.730515,105.95277,20.004396,35.74645,137.11978,113.41035,141.38818,174.3929,84.36401,187.5068,79.47475,98.29593,0.0,8.634092,17.802538,9.114863,18.813217,8.953918,0.0,9.328152,
111,164.10616434701814,1.6034143,area,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.04355,205.16365,143.9786,104.910706,10.098816,73.2793,68.95865,52.920757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.712147,42.03336,67.40384,28.975552,0.0,0.0,18.293907,9.551647,
114,218.04440364965356,1.6361,area,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,175.1767,161.41495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
115,285.1442589081567,1.6434901,area,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68123,0.0,0.0,0.0,0.0,0.0,0.0,40.402008,87.24302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.80844,203.56384,0.0,205.2367,182.25748,329.55493,54.06126,102.868614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110,287.1592968763209,1.6474712,area,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.778595,82.45617,59.97294,112.66373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.712774,23.847137,0.0,64.67316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.968574,19.953596,19.61555,10.35878,0.0,0.0,
117,166.08551771512467,1.7173226,area,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.301994,0.0,0.0,0.0,0.0,0.0,19.666353,0.0,0.0,0.0,99.70746,0.0,20.032324,0.0,161.14714,0.0,18.36343,0.0,0.0,0.0,0.0,0.0,8.828541,0.0,0.0,0.0,82.54219,0.0,0.0,0.0,0.0,0.0,0.0,26.106068,18.463263,73.884865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
