filename,ATTRIBUTE_type,ATTRIBUTE_resin,ATTRIBUTE_source,ATTRIBUTE_treatment,ATTRIBUTE_source&treatment
Acid-Blank-C18.mzML,BLANK,C18,BLANK,Acid,BLANKAcid
Acid-Blank-HLB.mzML,BLANK,HLB,BLANK,Acid,BLANKAcid
Acid-Blank-PPL.mzML,BLANK,PPL,BLANK,Acid,BLANKAcid
Acid-Blank-Strata.mzML,BLANK,STRATA,BLANK,Acid,BLANKAcid
Acid-Dam-C18-1.mzML,SAMPLE,C18,Dam,Acid,DamAcid
Acid-Dam-C18-A.mzML,SAMPLE,C18,Dam,Acid,DamAcid
Acid-Dam-HLB-1.mzML,SAMPLE,HLB,Dam,Acid,DamAcid
Acid-Dam-HLB-A.mzML,SAMPLE,HLB,Dam,Acid,DamAcid
Acid-Dam-PPL-1.mzML,SAMPLE,PPL,Dam,Acid,DamAcid
Acid-Dam-PPL-A.mzML,SAMPLE,PPL,Dam,Acid,DamAcid
Acid-Dam-Strata-1.mzML,SAMPLE,STRATA,Dam,Acid,DamAcid
Acid-Dam-Strata-A.mzML,SAMPLE,STRATA,Dam,Acid,DamAcid
Acid-Sea-C18-1.mzML,SAMPLE,C18,Marine,Acid,MarineAcid
Acid-Sea-C18-A.mzML,SAMPLE,C18,Marine,Acid,MarineAcid
Acid-Sea-HLB-1.mzML,SAMPLE,HLB,Marine,Acid,MarineAcid
Acid-Sea-HLB-A.mzML,SAMPLE,HLB,Marine,Acid,MarineAcid
Acid-Sea-PPL-1.mzML,SAMPLE,PPL,Marine,Acid,MarineAcid
Acid-Sea-PPL-A.mzML,SAMPLE,PPL,Marine,Acid,MarineAcid
Acid-Sea-Strata-1.mzML,SAMPLE,STRATA,Marine,Acid,MarineAcid
Acid-Sea-Strata-A.mzML,SAMPLE,STRATA,Marine,Acid,MarineAcid
Blank0-Methanol.mzML,BLANK,BLANK,BLANK,BLANK,BLANKBLANK
Blank1-Methanol.mzML,BLANK,BLANK,BLANK,BLANK,BLANKBLANK
Blank2-Methanol2.mzML,BLANK,BLANK,BLANK,BLANK,BLANKBLANK
Blank3-Methanol3.mzML,BLANK,BLANK,BLANK,BLANK,BLANKBLANK
Blank4-Methanol4.mzML,BLANK,BLANK,BLANK,BLANK,BLANKBLANK
Blank5-Methanol (2).mzML,BLANK,BLANK,BLANK,BLANK,BLANKBLANK
Blank5-Methanol.mzML,BLANK,BLANK,BLANK,BLANK,BLANKBLANK
Blank6-Methanol6.mzML,BLANK,BLANK,BLANK,BLANK,BLANKBLANK
Blank7-Methanol7.mzML,BLANK,BLANK,BLANK,BLANK,BLANKBLANK
Blank8-Methanol8.mzML,BLANK,BLANK,BLANK,BLANK,BLANKBLANK
Dam-C18-1.mzML,SAMPLE,BLANK,Dam,Neutral,DamNeutral
Dam-C18-A.mzML,SAMPLE,BLANK,Dam,Neutral,DamNeutral
Dam-HLB-1.mzML,SAMPLE,BLANK,Dam,Neutral,DamNeutral
Dam-HLB-A.mzML,SAMPLE,BLANK,Dam,Neutral,DamNeutral
Dam-PPL-1.mzML,SAMPLE,PPL,Dam,Neutral,DamNeutral
Dam-PPL-A.mzML,SAMPLE,PPL,Dam,Neutral,DamNeutral
Dam-Strata-1.mzML,SAMPLE,STRATA,Dam,Neutral,DamNeutral
Dam-Strata-A.mzML,SAMPLE,STRATA,Dam,Neutral,DamNeutral
NeuBlankC18.mzML,BLANK,C18,BLANK,Neutral,BLANKNeutral
NeuBlankHLB.mzML,BLANK,HLB,BLANK,Neutral,BLANKNeutral
NeuBlankPPL.mzML,BLANK,PPL,BLANK,Neutral,BLANKNeutral
NeuBlankStrata-NeuBlankStrata (2).mzML,BLANK,STRATA,BLANK,Neutral,BLANKNeutral
QC.mzML,QC,QC,QC,QC,QCQC
QC2-QC2 (2).mzML,QC,QC,QC,QC,QCQC
QC2-QC2.mzML,QC,QC,QC,QC,QCQC
QC3.mzML,QC,QC,QC,QC,QCQC
QC4.mzML,QC,QC,QC,QC,QCQC
QC6.mzML,QC,QC,QC,QC,QCQC
QC6A.mzML,QC,QC,QC,QC,QCQC
QC7.mzML,QC,QC,QC,QC,QCQC
QC8.mzML,QC,QC,QC,QC,QCQC
River-C18-1.mzML,SAMPLE,C18,River,Neutral,RiverNeutral
River-C18-A.mzML,SAMPLE,C18,River,Neutral,RiverNeutral
River-HLB-1.mzML,SAMPLE,HLB,River,Neutral,RiverNeutral
River-HLB-A.mzML,SAMPLE,HLB,River,Neutral,RiverNeutral
River-PPL-1.mzML,SAMPLE,PPL,River,Neutral,RiverNeutral
River-PPL-A.mzML,SAMPLE,PPL,River,Neutral,RiverNeutral
River-Strata-1.mzML,SAMPLE,STRATA,River,Neutral,RiverNeutral
River-Strata-A.mzML,SAMPLE,STRATA,River,Neutral,RiverNeutral
Sea-C18-1.mzML,SAMPLE,C18,Marine,Neutral,MarineNeutral
